municipio_nombre,municipio_id,objeto,establecimiento,nombre_establecimiento,longitud,latitud,
25 de Mayo,06854,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Esteban Echeverría,-60.0787,-35.1672,
25 de Mayo,06854,Edificio de Cultura,Comité Cultural y Biblioteca,Comité Cultural y Biblioteca Juan Francisco Ibarra,-60.1714,-35.4329,
9 de Julio,06588,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Anastasio Prieto,-60.8667,-35.4333,
9 de Julio,06588,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular José Ingenieros,-60.8834,-35.446,
9 de Julio,06588,Edificio de Cultura,Cine Teatro,Cine Teatro Rossini,-60.8846,-35.4455,
Adolfo Alsina,06007,Edificio de Cultura,Biblioteca Popular Pública,Biblioteca Popular Pública Adolfo Alsina,-62.7601,-37.1809,
Adolfo Alsina,06007,Edificio de Cultura,Museo,Museo Regional Doctor Adolfo Alsina,-62.7618,-37.1812,
Adolfo Alsina,06007,Edificio de Cultura,Otro,Casa del Bicentenario,-63.0009,-37.0005,
Adolfo Alsina,06007,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular José Ingenieros,-63.2471,-37.1626,
Adolfo Gonzales Chaves,06014,Edificio de Cultura,Sociedad Biblioteca Popular,Sociedad Biblioteca Popular Bernardino Rivadavia,-60.0994,-38.0346,
Adolfo Gonzales Chaves,06014,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Doctor Víctor H. Barrera,-60.4145,-37.9625,
Alberti,06021,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Andrés Vaccarezza,-60.2783,-35.0311,
Alberti,06021,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Florentino Ameghino,-60.305,-34.8417,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Alfonsina Storni,-58.3243,-34.7777,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Gabriela Mistral,-58.3272,-34.7733,
Almirante Brown,06028,Edificio de Cultura,Otro,La Casa Espacio de Debate y Cultura,-58.3345,-34.7975,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Mahatma Gandhi,-58.3364,-34.7999,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Arturo Jauretche,-58.3549,-34.7742,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Tito Brandsma,-58.3606,-34.7711,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Epifanía de la Bra. de Echagué,-58.3667,-34.7833,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Manuel Belgrano del Barrio de Villa Paris,-58.3788,-34.879,
Almirante Brown,06028,Edificio de Cultura,Otro,Amigos de la Biblioteca Esteban Adrogue,-58.3815,-34.7973,
Almirante Brown,06028,Edificio de Cultura,Centro Cultural,Centro Cultural El Gaucho,-58.3853,-34.826,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Pablo Rojas Paz,-58.3858,-34.8915,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Atahualpa Yupanqui,-58.3864,-34.8586,
Almirante Brown,06028,Edificio de Cultura,Centro Cultural,Centro Cultural de Adrogue,-58.388,-34.801,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular y Sociedad de Fomento,Biblioteca Popular y Sociedad de Fomento Martín Fierro,-58.3884,-34.8683,
Almirante Brown,06028,Edificio de Cultura,Espacio Cultural,Espacio Cultural Superarte,-58.391,-34.8601,
Almirante Brown,06028,Edificio de Cultura,Museo,Museo Claudio León Sempere,-58.3945,-34.8273,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Mariano Moreno,-58.395,-34.8264,
Almirante Brown,06028,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Fray Luis Beltran,-58.3995,-34.8944,
Almirante Brown,06028,Edificio de Cultura,Otro,El Semillero,-58.4156,-34.8096,
Arrecifes,06077,Edificio de Cultura,Biblioteca Popular Municipal,Biblioteca Popular Municipal Teniente General Bme. Mitre,-60.1083,-34.0632,
Avellaneda,06035,Edificio de Cultura,Biblioteca Popular,Biblioteca Popular Juan M. de Pueyrredón,-58.316,-34.7007,
Avellaneda,06035,Edificio de Cultura,Centro Cultural,Centro Cultural J. Lynch,-58.3196,-34.6972,
Avellaneda,06035,Edificio de Cultura,Biblioteca Popular y Sociedad de Fomento,Biblioteca Popular y Sociedad de Fomento Nicolás Avellaneda,-58.3207,-34.6902,
